Date,Open,High,Low,Close,Adj Close,Volume
2019-12-15,27.873779,28.174305,27.648384,28.099173,24.505648,108184209
2019-12-16,28.174305,28.625093,28.174305,28.549961,24.898787,116571298
2019-12-17,28.587528,28.662659,28.174305,28.362133,24.734978,156939470
2019-12-18,28.174305,28.249435,27.573254,27.573254,24.046989,92204883
2019-12-19,27.573254,27.610819,26.671675,26.671675,23.260710,118932217
2019-12-22,26.746805,26.821938,26.220886,26.521412,23.129663,43680969
2019-12-23,26.521412,26.784372,26.483847,26.746805,23.326231,38607899
2019-12-24,26.784372,26.821938,26.521412,26.596542,23.195187,24402772
2019-12-25,26.596542,26.596542,26.371149,26.446280,23.064140,14930010
2019-12-26,26.408714,26.558977,26.333584,26.558977,23.162426,15249566
2019-12-29,26.521412,26.821938,26.521412,26.596542,23.195187,25263359
2019-12-30,26.596542,26.634109,26.408714,26.408714,23.031380,14461834
2019-12-31,26.408714,26.483847,26.333584,26.483847,23.096903,17966049
2020-01-01,26.483847,26.483847,26.333584,26.371149,22.998615,9369076
2020-01-02,26.371149,26.483847,26.333584,26.408714,23.031380,12573818
2020-01-05,26.296019,26.296019,25.920361,25.957926,22.638243,27763037
2020-01-06,25.920361,25.957926,25.582268,25.920361,22.605478,25742019
2020-01-07,25.882793,25.957926,25.657400,25.807663,22.507195,15315383
2020-01-08,25.544703,25.694965,25.544703,25.694965,22.408911,24365526
2020-01-09,25.807663,26.333584,25.770098,26.296019,22.933094,34441967
2020-01-12,26.296019,26.408714,25.957926,26.145756,22.802050,27043095
2020-01-13,26.145756,26.296019,26.070623,26.108189,22.769285,18675990
2020-01-14,26.108189,26.183319,25.845228,26.183319,22.834806,13725688
2020-01-15,26.145756,26.145756,25.995493,26.070623,22.736523,14285953
2020-01-16,26.070623,26.070623,25.920361,25.995493,22.671001,12676373
2020-01-19,25.995493,25.995493,25.732531,25.807663,22.507195,14580209
2020-01-20,25.770098,25.995493,25.694965,25.995493,22.671001,9631684
2020-01-21,25.920361,25.995493,25.807663,25.957926,22.638243,9369233
2020-01-22,25.882793,25.920361,25.807663,25.882793,22.572716,6837327
2020-01-23,25.845228,25.882793,25.732531,25.882793,22.572716,7911676
2020-01-26,25.694965,25.807663,25.582268,25.770098,22.474432,10182858
2020-01-27,25.732531,25.732531,25.582268,25.732531,22.441669,9634653
2020-01-28,25.694965,25.732531,25.582268,25.732531,22.441669,9694977
2020-01-29,25.619835,25.845228,25.582268,25.845228,22.539955,11837366
2020-01-30,25.845228,25.845228,25.657400,25.657400,22.376148,7578760
2020-02-02,25.619835,25.619835,25.432007,25.507137,22.245102,15390616
2020-02-03,25.432007,25.544703,25.394440,25.507137,22.245102,11068749
2020-02-04,25.469570,25.544703,25.356874,25.432007,22.179579,10023979
2020-02-05,25.394440,25.507137,25.244177,25.281742,22.048531,12174835
2020-02-06,25.281742,25.356874,25.018782,25.093914,21.884720,12775615
2020-02-09,25.056349,25.582268,24.643126,25.582268,22.310623,23569246
2020-02-10,25.507137,25.507137,25.206612,25.244177,22.015772,8294336
2020-02-11,25.206612,25.281742,25.056349,25.131479,21.917490,5632813
2020-02-12,25.093914,25.131479,24.906084,24.943651,21.753679,7922163
2020-02-13,24.943651,25.018782,24.492863,24.868519,21.688154,20557239
2020-02-16,24.868519,24.868519,24.868519,24.868519,21.688154,0
2020-02-17,24.643126,24.943651,24.605558,24.868519,21.688154,10431757
2020-02-18,24.830954,25.018782,24.718256,24.943651,21.753679,7149608
2020-02-19,24.943651,25.093914,24.906084,25.093914,21.884720,6483513
2020-02-20,25.093914,25.319307,25.018782,25.281742,22.048531,9562506
2020-02-23,25.394440,25.657400,25.169044,25.582268,22.310623,15121886
2020-02-24,25.507137,25.507137,24.981216,25.093914,21.884720,11172672
2020-02-25,24.943651,25.244177,24.830954,25.169044,21.950249,11381318
2020-02-26,25.018782,25.169044,24.868519,25.131479,21.917490,8779890
2020-02-27,24.981216,25.056349,24.868519,25.056349,21.851961,23968629
2020-03-01,24.718256,24.718256,24.305033,24.530428,21.393301,17531597
2020-03-02,24.605558,24.906084,24.605558,24.643126,21.491585,16029933
2020-03-03,24.830954,24.906084,24.755821,24.830954,21.655392,10716308
2020-03-04,24.718256,24.868519,24.605558,24.830954,21.655392,11141818
2020-03-05,24.830954,24.943651,24.755821,24.793388,21.622629,5283062
2020-03-08,23.966942,23.966942,22.464312,22.539444,19.656935,31263504
2020-03-09,20.285500,21.525169,20.285500,21.299774,18.575804,45246250
2020-03-10,21.938393,23.403456,21.938393,23.403456,20.410456,34812195
2020-03-11,23.666416,23.666416,21.863260,22.314049,19.460367,30193890
2020-03-12,21.788130,22.238918,21.036814,21.788130,19.001705,28163443
2020-03-15,21.750563,22.351616,21.450037,21.562735,18.805134,21132482
2020-03-16,21.111944,21.262209,20.773853,20.886551,18.215427,16556390
2020-03-17,20.886551,22.351616,20.886551,21.863260,19.067232,22344863
2020-03-18,21.863260,22.501879,21.750563,21.788130,19.001705,17605122
2020-03-19,21.675432,22.238918,21.450037,22.051088,19.280104,21157830
2020-03-22,21.825693,22.126221,21.600300,21.712997,18.984495,9550788
2020-03-23,21.712997,21.712997,21.412472,21.487602,18.787424,7075766
2020-03-24,21.900826,22.426746,21.900826,22.163786,19.378639,13337712
2020-03-25,22.539444,22.727272,21.938393,22.238918,19.444324,26325194
2020-03-26,22.276484,22.539444,22.276484,22.464312,19.641399,7443243
2020-03-29,22.389181,22.577009,22.013523,22.464312,19.641399,8947490
2020-03-30,22.501879,22.577009,22.389181,22.501879,19.674242,6339024
2020-03-31,22.464312,22.727272,22.464312,22.652142,19.805620,8826875
2020-04-01,22.614574,23.102930,22.464312,22.990232,20.101227,12748011
2020-04-02,23.253193,23.779114,23.253193,23.779114,20.790979,19187053
2020-04-05,24.079639,24.455296,23.666416,23.666416,20.692444,32050501
2020-04-06,23.854244,24.042072,23.666416,24.004507,20.988050,7953052
2020-04-07,24.004507,24.042072,23.816679,24.042072,21.020897,8097947
2020-04-08,24.042072,24.042072,23.854244,24.042072,21.020897,7369454
2020-04-09,24.042072,24.154770,23.966942,24.079639,21.053740,10611823
2020-04-12,24.042072,24.042072,23.591284,23.779114,20.790979,9854423
2020-04-13,23.816679,23.891809,23.328323,23.365891,20.429684,9876560
2020-04-14,23.441021,23.628851,23.215628,23.365891,20.429684,7882906
2020-04-15,23.328323,23.328323,22.952667,23.065365,20.166922,5895069
2020-04-16,23.027798,23.027798,22.464312,22.539444,19.707090,10157880
2020-04-19,22.577009,22.764837,22.539444,22.652142,19.805620,6224181
2020-04-20,22.577009,22.577009,22.351616,22.539444,19.707090,5374958
2020-04-21,22.163786,22.351616,21.750563,22.088655,19.312948,7968832
2020-04-22,21.788130,22.464312,21.788130,22.314049,19.510019,7903817
2020-04-23,22.539444,22.689707,22.426746,22.539444,19.707090,6231113
2020-04-26,22.764837,23.328323,22.614574,23.215628,20.298304,7367199
2020-04-27,23.215628,23.365891,22.952667,23.140495,20.232613,6274495
2020-04-28,23.027798,23.178061,22.952667,23.065365,20.166922,4132564
2020-04-29,23.102930,23.290758,23.102930,23.253193,20.331144,4508666
